Dealer Code,Dealer Name,Dealer Type,Lat,Long,Distance,Company,Address,City,Email,Phone,Fax,SMS
DD023,Sundaram Honda ,Showroom & Workshop,17.43015,78.48794,NA,Sundaram Motors,"67, M.G. Road, Ranigunj, Secunderabad - 500003",SECUNDERABAD,honsalmgr_sec@sundarammotors.com,"9887996677, 9121318881",040-27542258/5220, SMS Address
DD007,Peninsular Honda ,Showroom & Workshop,9.947801,76.31877,NA,Patel Cars (P) ltd.,"NH-47, VYTILLA-AROOR, BY-PASS ROAD, MARADU",KOCHI (COCHIN),rajeev@peninsularhonda.comgigipeter@peninsularhonda.com,"04842705547, 04842705548, 9895199000",0484-2705550, SMS Address
DD014B,Whitefield Honda ,Workshop,12.99282,77.70441,NA,White Field Motors Pvt. Ltd,"Plot No. 2A, Doddanakundi Industrial area, 2nd stage, Whitefield road, Mahadevapura post, Bengaluru - 560048",BANGALORE,managerbp@whitefieldhonda.com,"08033451812, 08033451813",080-25553369, SMS Address
DD005,Abhikaran Honda ,Showroom & Workshop,22.7699,75.9008,NA,Patwa City Automobiles Pvt. Ltd,"409-416 SANT NAGAR, (PART-I),SCHEME NO. 114,A.B. ROAD",INDORE,abhikaranhonda@rediffmail.com,"9893041888, 07314002200",0731-2572681/4002200, SMS Address
DD344,Landmark Honda ,Showroom,23.04824,72.51582,NA,Landmark Automobiles Pvt. Ltd.,"THALTEJ CROSS ROAD, SARKHEJ-GANDHI NAGAR HIGHWAY  ",AHMEDABAD,landmark@landmarkindia.netsales_ahd@landmarkindia.net,7966064545,079-66064546, SMS Address
DD013,Deccan Honda ,Showroom & Workshop,18.47086,73.85693,NA,Bafna Auto Cars (i) Pvt. Ltd.,"15,  PUNE SATARA ROAD, OPP. SHANKAR MAHARAJ  MATH, DHANKAWADI",PUNE,salesleads@deccanhonda.com,"02024371400, 02024371500, 02024371600",020-24373000, SMS Address
DD014,Whitefield Honda ,Showroom & Workshop,12.99996,77.68269,NA,White Field Motors Pvt. Ltd.,"Whitefield Motors Pvt. Ltd. | 116-1 , B Narayanpura, Doorvaninagar,Near K R Puram rly station,White Field Road, Bangalore, Pincode - 560016",BANGALORE,sales@whitefieldhonda.comcorp.sales@whitefieldhonda.comservice@whitefieldhonda.com,"9845008060, 08030760000, 08030760100",080-28510569, SMS Address
DD029,Sundaram Honda ,Showroom & Workshop,16.4994,80.64747,NA,Sundaram Motors,"11,M.G.ROAD,LABBIPET,VIJAYAWADA-520010",VIJAYWADA,honsalmgr_vij@sundarammotors.com ,"7675800509, 8657589136",0866-2486618, SMS Address
DD028A,Coastal Honda ,Showroom,15.48627,73.8183,NA,Caculo Cars Pvt. Ltd.,"CACULO ENCLAVE, OPP. FIRE SERVICE STATION HEAD QUARTER, ST. INEZ, PANAJI",GOA,sudeshdhargalkar@coastalhonda.net,"08326649933, 7767815751",NA, SMS Address
DD030,Peninsular Honda ,Showroom & Workshop,8.565,76.88173,NA,Patel Cars (p) Ltd.,"KOLLAM , NH-47 HIGHWAY, KAZHAKUTTAM, OPP. KARIYAVATTOM UNIVERSITY,",THIRUVANANTHAPURAM(TRIVANDRUM),gigipeter@peninsularhonda.comnayaz@peninsularhonda.com,"04712416777, 04712418777, 9895299000",0471-2416777, SMS Address
DD110,Courtesy Honda ,Showroom & Workshop,29.62899,76.97694,NA,Lally Automobiles Pvt. Ltd.,"117/8 K.M. Milestone, G.T. Road, Madhuban",KARNAL,saleskrl@lallyautomobiles.net,1843067777,0184-3067700, SMS Address
DD149,Sundaram Honda ,Showroom & Workshop,9.911542,78.11433,NA,T.V Sundaram Iyengar & Sons,"211, South Veli Street, Madurai ",MADURAI,hondasales.smmdu@sundarammotors.com,9952333835,0452-2341587, SMS Address
DD035,Heritage Honda ,Showroom & Workshop,27.2214,77.9264,NA,M.G.R. Automobiles,"OPP. SIKANDRA INDL. AREA, MATHURA ROAD, N.H.-2",AGRA,sales@heritagehonda.inamitagarwal@heritagehonda.in,"8937095610, 8937095645 ",0562-2641563, SMS Address
DD346,Landmark Honda ,Showroom & Workshop,22.24239,70.79922,NA,Landmark Automobiles Pvt. Ltd.,"Gondal Road, Gondal - Ahmedabad Bypass Circle, NH - 8/B, Vavdi, Rajkot - 360004",RAJKOT,rajkot@landmarkindia.net,"02816692000, 02816692020",0281-2382249, SMS Address
DD039,Prestige Honda ,Showroom & Workshop,30.37211,76.47595,NA,Lally Motors Ltd.,"Rajpura Patiala Road, Bhadurgarh",PATIALA,salesptl@lallymotors.netripu@lallymotors.net,1753067777,0175-3067700, SMS Address
DD313A,Ring Road Honda ,Showroom,28.62653,77.2204,NA,Sugoi Motors pvt ltd,A-2 Udyog Nagar Indl. AreaRohtak Road,DELHI,sqm_cp@rrhonda.com,1143080000,011- 43080002, SMS Address
DD041,Highway Honda ,Showroom & Workshop,20.296,85.825,NA,Aditya Car Automotive Pvt. Ltd.,"PLOT NO: 377, NH-5, RUDRAPUR, PAHAL, BHUBANESWAR-752101 (Showroom). PLOT NO: 377, NH-5, RUDRAPUR, PAHAL, BHUBANESWAR-752101 (Workshop)",BHUBANESWAR,sales@highwayhonda.comservice@highwayhonda.com,"06747112222, 7873999819, 7873999617",0674-2546252/0674-2463525, SMS Address
DD036,Abhikaran Honda ,Showroom & Workshop,23.2606,77.4566,NA,Patwa City Automobiles Pvt. Ltd.,"PLOT NO 7&8,SECTOR-E,J.K. ROAD,GOVINDPURA INDUSTRIAL AREA.",BHOPAL,abhikaran.bhopal@gmail.com ,"9893060888, 07554265644, 07556455950","0755-5265644,45", SMS Address
DD037A,Deccan Honda ,Workshop,19.82027,75.24458,NA,BAFNA AUTO CARS (I) PVT. \LTD.,"GUT NO.143, VALLANDGAON NEAR WALUJ, AURANGABAD.431136",AURANGABAD,sqmsalesabad@deccanhonda.comcrmaurangabad@deccanhonda.com,"2402321144, 2402321155, 2402321166",0240-3091541, SMS Address
DD044,Pushp Honda ,Showroom & Workshop,26.48256,80.32806,NA,Smart Cars Ltd.,"4B-3 ,SMART CAR LANE , DADA NAGAR CO-OPERATIVEINDUSTRIAL ESTATEALSO AT 9/2 ALLENGANJ .ALSO AT 9/2 ALLENGANJ , KANPUR",KANPUR,sales@pushphonda.comakash@pushphonda.com,"917897554545, 919198605454",0512- 2234253. 2234206, SMS Address
DD315,Ring Road Honda ,Showroom & Workshop,28.49171,77.06871,NA,Sugoi Motors pvt ltd,A-2 Udyog Nagar Indl. AreaRohtak Road,GURGAON,tmkg_ggn@rrhonda.com,1244609400,"0124-4688010, 0124-4695040", SMS Address
DD043,Dakshin Honda ,Showroom & Workshop,12.88293,77.64425,NA,Elite Automobiles Pvt. Ltd.,"97/1A, Singasandra Village, Hosur Road, Bangalore",BANGALORE,sales@dakshinhonda.comcrm.sales@dakshinhonda.com,"9513733407, 08040805600","080 - 25736065, 41112733", SMS Address
DD045,Shubh Honda ,Showroom & Workshop,21.23708,81.58652,NA,Karan City Automobiles Pvt. Ltd.,"RING ROAD NO. 1,",RAIPUR,shubhhonda@rediffmail.com,7714072072,0771 - 2263525, SMS Address
DD050,Ring Road Honda ,Showroom & Workshop,28.66152,77.14674,NA,Sugoi Motors Pvt. Ltd.,21-A Najafgarh Road,DELHI,tmkg_mn@rrhonda.com,"01145049335, 01145049336",011-42597070, SMS Address
DD047,Riverside Honda ,Showroom & Workshop,16.70793,74.26994,NA,Rasika Motors Pvt. Ltd.,"RS No. 52/14, 15, 16, 13Bhumapan, No. ES 2Mouje UchagaonTaluka Karveer (Opp. Shiroli Octroi Check Post)",KOLHAPUR,rasikamotors@yahoo.comsushant_rasikamotors@yahoo.com,2316634000,0231-2669898, SMS Address
DD049,Divine Honda ,Showroom & Workshop,30.26591,77.98335,NA,Divine Automotives Pvt. Ltd.,MOHABEDWALA INDUSTRIAL AREASAHARANPUR ROAD,DEHRADUN,sales@divinehonda.com,"01352645001, 01352645006",0135-2645005, SMS Address
DD046,Hallmark Honda ,Showroom & Workshop,19.04959,73.0234,NA,M/s Hallmark Automotive Pvt. Ltd.,"D 43/2, TTC INDUSTRIAL AREA, MIDC, SHIRAVANE (NEAR NERUL BRIDGE),MUMBAI - PUNE ROAD",NAVI MUMBAI,sales@hallmarkhonda.comservice@hallmarkhonda.com,2227675000,022-27675001, SMS Address
DD052,Courtesy Honda ,Showroom & Workshop,28.51939,77.27864,NA,Lally Automobiles Pvt Ltd.,"D-11, Industrial Area Phase - I, Okhla",DELHI,crmsalesokhla@lallyautomobiles.net crmserokhla@lallyautomobiles.net," 011-40710000, 9711042928",N/A, SMS Address
DD055,Capital Honda ,Showroom & Workshop,12.98662,80.17574,NA,Aadit Auto Company Pvt.Ltd.,"18, G.S.T ROAD, OPP. AIRPORT CARGO COMPLEX ,MEENAMBAKKAM,",CHENNAI,sales@capitalhonda.in,"9940126651, 9940460001, 04443216000",044-43216000, SMS Address
DD060,Harmony Honda ,Showroom & Workshop,30.6974,76.78422,NA,M/s Joshi Automotives Pvt Ltd,"PLOT NO. 67, INDUSTRIAL AREA, PHASE II, Pin Code : 160 002",CHANDIGARH,sales@harmonyhonda.inceo@harmonyhonda.injoshihonda@gmail.cominfo@harmonyhonda.in,1725022222,0172-5022225, SMS Address
DD051,Ace Honda ,Showroom & Workshop,28.5996,77.32851,NA,Naksha Enterprises Pvt. Ltd.,"G-25, SECTOR - 11, NOIDA - 201301, INDIA",NOIDA,service@acehonda.insales@acehonda.in     ,1204000400,"(0120) 4230303,4230404", SMS Address
DD068,Classic Honda ,Showroom & Workshop,28.45489,77.30898,NA,Sterling Automobiles Private Limited,"14/1, MATHURA ROAD, FARIDABAD, HARYANA - 121003",FARIDABAD,sales@classichonda.co.in,1294097007,0129-4113855, SMS Address
DD058,Autokam Honda ,Showroom & Workshop,24.57539,73.74767,NA,Kamal Automotives Pvt. ltd.,"E-93, MADRI, MEWAR INDUSTRIAL AREA, N.H.8",UDAIPUR,Sales@autokamhonda.com,"02942491641, 02946453145",0294-2491642, SMS Address
DD213,Hallmark Honda ,Showroom & Workshop,18.99863,73.11033,NA,M/s Hallmark Automotive Pvt. Ltd.,"Plot NO.100,Panvel Industrial Co-op,Estate Limited,Opp. Panvel Flyover, Old Mumbai Pune Highway,Taluka-Panvel , Dist:-Raigad Pin 410206",MUMBAI,sales@hallmarkhonda.comservice@hallmarkhonda.com,"02271205000, 7506791125, 7506791120",NA, SMS Address
DD070,Pride Honda ,Showroom & Workshop,17.44585,78.3851,NA,Pride Honda,"PLOT NO:9,SURVEY NO:64, HUDA TECHNO ENCLAVE,MADHAPUR-500081",HYDERABAD,sm.madhapur@pridehonda.in,"8499974558, 8099938844",040 - 23552540, SMS Address
DD070b,Pride Honda ,Workshop,17.50862,78.36243,NA,M/s. Pride Honda,"1-70 Sy No. 201/B, Opposite Dr. Reddy's research foundation, Medinaguda, Miyapur bollaram road, Hydrabad, 500049",HYDERABAD,servicepridehonda@gmail.com,"9505018881, 04064566324",NA, SMS Address
DD048,Arya Honda ,Showroom,19.01417,72.83083,NA,Shaman Cars India Pvt. Ltd.,"Madhu Kunj,Sayani Road, Prabhadevi",MUMBAI,managerhondasales@teamshaman.commanager.hondafort@teamshaman.com ,"24228686, 24228787",022 - 24321919, SMS Address
DD322,Aryodaya Honda ,Showroom & Workshop,21.15232,79.02131,NA,ARYODAYA NEXMOVE PVT LTD,"PLOT NO-34/1, 35/1, CITY SURVEY NO-25, KACHIMET,",NAGPUR,gmsales@aryodayahonda.comgmservice@aryodayahonda.com,"919766522223, 919890510613",NA, SMS Address
DD054,Pinnacle Honda ,Showroom & Workshop,22.61994,88.46269,NA,Chandrani Enterprises Pvt. Ltd.,"CHANDRANI TOWERS, 739 ANANDAPUR, E.M. BYEPASS, NEAR RUBY HOSPITAL, Besid Calcutta International School",KOLKATA,sales@pinnaclehonda.com,3340404444,033-22874190, SMS Address
DD013A,Deccan Honda ,Showroom,18.53566,73.88064,NA,Bafna Auto Cars (i) Pvt Ltd.,"Survey No. 28, Shop No.42/43,Connaught Place Building, Bund Garden Road, ",PUNE,salesleads@deccanhonda.com,"02041043126, 02041043100, 02041043103",020-26050100, SMS Address
DD028,Coastal Honda ,Showroom & Workshop,15.36561,73.92524,NA,Caculo Cars Pvt. Ltd.,"NH - 17, VERNA PLATEAU, SALCETE",GOA,ameyacharya@coastalhonda.net,"7066040130, 08326693333",0832 - 6693344, SMS Address
DD073,Landmark Honda ,Showroom & Workshop,21.1614,72.77454,NA,Landmark Honda,"Signature,68/3, FP : 36,Near Iskon Mall,Dumas Road,Surat",SURAT,lalit@landmarkindia.netsales_surat@landmarkindia.netsm_surat@landmarkindia.net,2616713700,0261 6674546, SMS Address
DD072,Hillview Honda ,Showroom & Workshop,32.76176,74.91515,NA,Trehan Automotives Pvt. Ltd.,"NH 1, BYE PASS ROAD, SIDHRA",JAMMU,sales@hillviewhonda.comservice@hillviewhonda.comsanjay_shan_13@yahoo.co.in,"01912662731, 01912662736, 01912662739, 01912662742 ",0191 - 2662745/0191 - 2662742, SMS Address
DD081,Lakeview Honda ,Showroom & Workshop,15.38262,75.11189,NA,Lakeview Honda,"PLOT NO. 11, 12, 13, & 14, OPPOSITE UNKAL LAKE, UNKAL VILLAGE ",HUBLI,suhasjavali@hotmail.comsales@lakeviewhonda.comservice@lakeviewhonda.com,"9731596555, 08362278837, 08366577647, 9731596205",0836-2374905, SMS Address
DD084,Magnum Honda ,Showroom & Workshop,12.87853,77.54483,NA,M/s Akshara Motors Pvt.Ltd.,"M/s Akshara Motors Pvt Ltd, no 27/2,Kanakapura Main Road, Raghuvanahalli Uttarahalli Hobli, Next To KSIT College, Bangalore 560062",BANGALORE,sales@magnumhonda.com,"9972303622 , 08026322271, 08026322274",NA, SMS Address
DD061,Samara Honda ,Showroom,28.62186,77.11766,NA,Samara AutoMax Pvt Ltd (Showroom),"C-110, Mayapuri- 2, New Delhi",DELHI,sm.myp@samarahonda.com,"9717556161, 01145656565",011-45656566, SMS Address
DD063,Deccan Honda ,Showroom & Workshop,18.62764,73.80221,NA,Bafna Auto Cars (i) Pvt Ltd.,"(workshop) Next to Finolex Cables, Opposite PCMC Building  off, Old Mumbai,",PUNE,salesleads@deccanhonda.com,"02027441000, 02040772355",27443899/020-40772354, SMS Address
DD082,Platinum Honda ,Showroom,28.92229,77.65202,NA,SJS Auto Services (p) Ltd,"Delhi Road,",MEERUT,udaiveer1@gmail.comrajveer431@hotmail.com,"9756799902, 9897777736",Not Available, SMS Address
DD091,Inspire Honda ,Showroom & Workshop,12.34758,76.58002,NA,SHAH AUTOMOTIVES MYSORE PVT. LTD.,"# 101(P), Hootagalli Industrial Area",MYSORE,sales@inspirehonda.com service@inspirehonda.com,"08214009400, 08214009425, 08214009450",0821-4009499, SMS Address
DD066,Emerald Honda ,Showroom,23.02328,72.54941,NA,M/s Emerald Cars Pvt.Ltd. (Showroom),"YSL Avenue, Polytechnic Road,Opp.Ketav Petrol Pump",AHMEDABAD,sales@emeraldhonda.com,"40228000, 26309171, 26309181",26309161, SMS Address
DD071,Spectrum Honda ,Showroom,26.11146,91.73087,NA,M/s. Ghosh Brothers Motors Pvt. Ltd.,"National Highway 37,",GUWAHATI,ghoshbros@spectrumhonda.in,"03612236525, 03612236565",0361-2236538, SMS Address
DD347, landmark Honda  ,Showroom & Workshop,23.58101,72.37008,NA,M/s Landmark Automobiles Pvt.Ltd.,"Survey No. - 335-P, Mouje Nagalpur, National Highway, Mehsana - 384002",MEHSANA,sales_mehsana@landmarkindia.netmehsana@landmarkindia.net,"02762664545, 9825232213",02672 - 664546, SMS Address
DD084A,Magnum Honda ,Showroom,13.0133,77.58363,NA,Akshara Motors Private Limited,"No.6, Flat No. 18, SY. No. 2, Achaiah Shetty Layout",BANGALORE,salesmanager_rmv@magnumhonda.com,"08043534444, 9900029164",080-22976154, SMS Address
DD095,Solitaire Honda ,Showroom & Workshop,19.22023,72.8602,NA,M/s Krish Cars Pvt.Ltd.,"C/o Shakti Insulated Wires, Shakti Industrial & Commercial Business Centre, Dattapada road, Rajendra Nagar, ",MUMBAI,milind.shah@solitairehonda.com,"02267385555, 02267385566, 02267385588, 02267385599",022- 67385588/5599/5500, SMS Address
DD026,Prime Honda ,Showroom & Workshop,28.61835,77.28737,NA,Capital Cars Pvt. Ltd.,"Plot No. 1, Patparganj Industrial Complex, (Opp. Mother Dairy) Delhi - 110092",DELHI, crmsalesppg@primehonda.comcrmserviceppg@primehonda.commail@primehonda.com   ," 7290055380, 7375004990, 01140888888",NA, SMS Address
DD087,Sunshine Honda ,Showroom & Workshop,26.77792,75.84102,NA,Agrasen Cars (P) Ltd.,"G-153-154,  Behind Infosys, Sitapura Industrial Area, Nearest Landmark - Infosys (Workshop & Service Facility)",JAIPUR,sales@sunshinehonda.netgmservice@sunshinehonda.net,"01412770450, 01412770451",NA, SMS Address
DD087A,Sunshine Honda ,Showroom,26.90129,75.78253,NA,Agrasen Cars (P) Ltd.,"A-7, Hawa Sadak,Near Civil Lines",JAIPUR,sales@sunshinehonda.netgmservice@sunshinehonda.net,"01412213251, 01412213252, 01412213253, 9214443359, 9351063955",NA, SMS Address
DD016A,Pinkcity Honda ,Showroom & Workshop,26.87308,75.79713,NA,PinkCity Motors (P) Ltd,"C-9, Road no. 1 (Workshop & Service)",JAIPUR,service@pinkcityhonda.com,"01415114933, 01414100200",0141-5115300, SMS Address
DD153,Sundaram Honda ,Showroom & Workshop,11.66617,78.14397,NA,M/s T.V.Sundaram Iyenagar & Sons Ltd.,"4, Omalur Main Road, Salem ",SALEM,hondasales.smslm@sundarammotors.com,"04272352169, 04272351785",0427-2352673 , SMS Address
DD099,Olympia Honda ,Showroom & Workshop,13.09476,80.16607,NA,Khivraj Vahan Pvt. Ltd.,"Plot No. 21, Industrial Estate,Ambattur",CHENNAI,mis@olympiahonda.co.in,9841422650,044-42299611, SMS Address
DD155,Arya Honda ,Showroom & Workshop,19.1377,72.92992,NA,Shaman Cars India Private Limited,"99/100,  L.B.S Marg,  Near St. Xaviers High School (showroom & workshop)",MUMBAI,hondasales.bhandup@teamshaman.comhondaservice.bhandup@teamshaman.com,2267747777,6774 7766, SMS Address
DD100,Vision Honda ,Showroom & Workshop,9.561991,76.51617,NA,Vision Motors Pvt Ltd,"Building No. XI / 243, Survey No. 434/3, 434/4, Peekay Complex, Vill. Nattakom,After Hotel Windsor Castle, MC Road,Kottayam",KOTTAYAM,salesmgr@visionhonda.combusinesshead@visionhonda.com,"04812361149, 04812361150, 04812361151, 04812361152",0481 - 2361149, SMS Address
DD095B#,Solitaire Honda ,Workshop,19.13301,72.83523,NA,M/s Krish Cars Pvt.Ltd.,"23A, Shah Indst. Estate. Off Veera Desai Rd. Andheri (W),Mumbai 400053",MUMBAI,crm.andheri@solitairehonda.comservicemanager.andheri@solitairehonda.com,"02261516151, 02261777777",26743500, SMS Address
DD105,Shubh Honda ,Showroom & Workshop,21.99628,82.07394,NA,Karan City Automobiles Pvt. Ltd.,"NH 200,  Hirri Mines,  (Chhattisgarh)",BILASPUR,salesbilaspur@shubhhonda.comservicebilaspur@shubhhonda.com,7752217943,07752 - 217944, SMS Address
DD106,Trident Honda ,Showroom & Workshop,25.42554,81.97752,NA,Surekha Sales Pvt. Ltd.,"Sarai Inayat,  Allahabad-Varanasi G.T Road - NH2",ALLAHABAD,sales@tridenthonda.inservice@tridenthonda.in,"9628370021, 9628370025, 9628370001, 9628373443",91 - 05332- 220701 / 02, SMS Address
DD101,Destination Honda ,Extended Showroom & Workshop,22.67424,72.88264,NA,Downtown Auto Pvt. Ltd.,"Destination Honda , Downtown Auto Pvt Ltd , 
Opp Kokran Mandir, Near Canal , College Road , NADIAD .Dist : Kheda , Pincode : 387001",KHEDA,destinationhonda@gmail.com destinationhonda@yahoo.in,"9428648584, 8469156565, 9099556565, 8980446565",02692- 222424, SMS Address
DD062,Dream Honda ,Showroom & Workshop,21.17481,72.83717,NA,Jivan Jyot Motors Pvt. Ltd,"Dream Honda,Jivanjyot Theatre Compound,Main Udhna Road,Surat",SURAT,jivanjyothonda@gmail.com,"09662526250, 02614060406, 02614060401",0261 - 4060402, SMS Address
DD113,Hallmark Honda ,Showroom & Workshop,19.19438,72.94621,NA,M/s Hallmark Automotive Pvt. Ltd.,"R D Ashar Compound,Main Road (Survey No. 412),Wagle Industrial Estate,Road No. 27",THANE,salesmgr_thane@hallmarkhonda.com,"02225819300, 9004385090, 9004385096, 9004255000, 9004145000",022- 25819301 / 25820100, SMS Address
DD096,Heritage Honda ,Showroom & Workshop,27.4504,77.6845,NA,M.G.R.Automobiles Pvt. Ltd.,"Navada,  Mathura - Delhi Road, NH-2",MATHURA,sales.mathura@heritagehonda.in service.mathura@heritagehonda.in,"8937095715, 8937095730",5652520303, SMS Address
DD104,Divine Honda ,Showroom & Workshop,29.89102,77.95461,NA,Divine Automotives Pvt. Ltd.,"7 KM milestone,Roorkee Haridwar Highway,Village Belda, Roorkee(District Haridwar, Uttarakhand)",ROORKEE,sales@divinehonda.in,"911332278100, 911332278104",01332-278105, SMS Address
DD098,Crystal Honda ,Showroom & Workshop,18.51949,73.77203,NA,Kothari Autolink Pvt Ltd,"S. Number 268,  Mantri Alpine,Katraj Dehu Road Bypass,Near Chandni Chowk",PUNE,sales@crystalhonda.com,"02067908222, 02067908200, 02067908000",020-67908211, SMS Address
DD169,Stallion Honda ,Showroom & Workshop,26.87231,80.97831,NA,Stallion AutoSales Pvt.Ltd,"Village Anaura, After Indira Canal, Faizabad Road,",LUCKNOW,sales@stallionhonda.com service@stallionhonda.com,"05223291237, 05223290143, 05223291244, 8009777000, 8009090093, 8009090094, 8009090095",0522-4101436, SMS Address
DD092A,Stallion Honda ,,26.87039,80.97131,NA,M G Autosales Pvt Ltd,"A-16, Indira Nagar, Faizabad Road",LUCKNOW,sales@stallionhonda.com service@stallionhonda.com,"0522-4022777, 8009222000/8009090091/8009090100",0522-4101436, SMS Address
DD097,Sumedha Honda ,Showroom & Workshop,26.1422,78.1303,NA,MGRG Automobiles Pvt Ltd,"ear Chirwai Naka, Shivpuri Link Road Gwalior 474009 (M.P.)",GWALIOR,sales@sumedhahonda.com,"07512439300, 07512439301, 07512439302",0751- 2439303, SMS Address
DD108,Autokam Honda ,Showroom & Workshop,25.13543,75.86481,NA,Kamal Automotives Pvt. Ltd.,"G - 15/16 I.PI.A, AUTOMOBILE ZONE,NEAR DHAKNIA STATION,",KOTA,saleskota@autokamhonda.com servicekota@autokamhonda.com,"8955513757, 8955144171, 9001056030",91-744-2436006, SMS Address
DD084B,Magnum Honda ,Workshop,13.03319,77.5412,NA,M/s Akshara Motors Pvt.Ltd.,"No. 2/3, (Survey No 8), MES Road, Yeshwanthapur, Near Taj Vivanta, Bengaluru, Karnataka 560022",BANGALORE,servicemanager_yp@magnumhonda.com,8049080669,080-23515890, SMS Address
DD083,Splendid Honda ,Showroom & Workshop,23.2213,79.8972,NA,Splendid Motors Private Limited,"Katangi Bypass Crossing, ",JABALPUR,info@splendidhonda.com,"07614056121, 07614056122, 9039022011, 9039022036",2636100, SMS Address
DD123,Harmony Honda ,Showroom & Workshop,30.66942,76.83724,NA,Joshi Autolinks Pvt Ltd.,"Plot No. 389,Industrial Area Phase 1",PANCHKULA,sales.pkl@harmonyhonda.in ceo@harmonyhonda.in info.pkl@harmonyhonda.in,1725066666,0172-5048811, SMS Address
DD119,Green Honda ,Showroom & Workshop,17.36647,78.5566,NA,Kapil Motors Pvt. Ltd.,"No 2/4/135, Snehapuri ColonyNo 2/4/135, Snehapuri Colony, Nagole,Hyderabad - 500035",HYDERABAD,saleshead@greenhonda.in,7799019401,040-24033370, SMS Address
DD315A,Ring Road Honda ,Showroom,28.47917,77.07375,NA,Sugoi Motors pvt ltd,A-2 Udyog Nagar Indl. AreaRohtak Road,GURGAON,sqmggn@rrhonda.com,1244688000,0124-4688010, SMS Address
DD055B,Capital Honda ,Workshop,12.95802,80.24888,NA,Aadit Auto company Pvt Ltd ,"# DP 49, Perungudi Industrial Estate",CHENNAI,service@capitalhonda.incapitalhondaservice@gmail.com,"04443486000, 9940630225",044 - 4348 6030, SMS Address
DD124,Elegant Honda ,Showroom & Workshop,30.32084,76.91662,NA,Kishiv Motors pvt. Ltd.,"9 K.M Stone, Village Khuddi,Ambala Jagadhri Road, Ambala Cantt, Haryana ",AMBALA,hondasalesamb@kmpl.net.in hondaseramb@kmpl.net.in,"9992221962, 9992221957, 01712891081, 01712891082",0171 - 2891079, SMS Address
DD120,Express Honda ,Showroom,14.38312,79.93644,NA,LM Automotive (India) Pvt. Ltd.,"Rajesh Pamulapati, Sy. No. 83,  Kakutur Village, Venkatchalam Mandal,  Nellore,  Andhra Pradesh",NELLORE,sales@expresshonda.com service@expresshonda.com,"08612383968, 08612383969, 7702366699",0861-2383199, SMS Address
